model,variant,sigma,n_seeds,frame_roc_auc_mean,frame_roc_auc_std,frame_pr_auc_mean,frame_pr_auc_std,base_rate_mean,base_rate_std,eer_mean,eer_std,event_roc_auc_mean,event_roc_auc_std,recall_at_fpr0.01_mean,recall_at_fpr0.01_std,recall_at_fpr0.05_mean,recall_at_fpr0.05_std,recall_at_fpr0.1_mean,recall_at_fpr0.1_std,fpr_at_thr_fpr0.05_mean,fpr_at_thr_fpr0.05_std,median_latency_at_fpr0.05_mean,median_latency_at_fpr0.05_std
COSKAD,T12,0,4,0.5987,0.0049,0.0983,0.0025,0.0674,0.0000,0.4341,0.0017,0.2940,0.0042,0.0243,0.0010,0.0508,0.0101,0.1799,0.0301,0.0542,0.0057,7.3750,8.0765
COSKAD,T12,8,4,0.6895,0.0045,0.1084,0.0017,0.0674,0.0000,0.3810,0.0023,0.3147,0.0135,0.0220,0.0011,0.0447,0.0078,0.1625,0.0267,0.0500,0.0068,6.2500,2.5331
COSKAD,T32,0,4,0.5723,0.0011,0.0859,0.0025,0.0674,0.0000,0.4528,0.0007,0.2280,0.0115,0.0178,0.0101,0.0380,0.0048,0.1023,0.0554,0.0556,0.0114,12.3750,3.5444
COSKAD,T32,8,4,0.6142,0.0015,0.0886,0.0026,0.0674,0.0000,0.4285,0.0066,0.2313,0.0108,0.0187,0.0045,0.0344,0.0037,0.0958,0.0512,0.0531,0.0108,5.5000,1.5811
COSKAD,T48,0,4,0.5347,0.0031,0.0817,0.0026,0.0674,0.0000,0.4905,0.0000,0.1925,0.0091,0.0316,0.0102,0.0517,0.0097,0.0769,0.0234,0.0711,0.0148,0.0000,0.0000
COSKAD,T48,8,4,0.5462,0.0043,0.0780,0.0021,0.0674,0.0000,0.4600,0.0054,0.2014,0.0107,0.0277,0.0060,0.0492,0.0091,0.0799,0.0256,0.0723,0.0126,0.0000,0.0000
COSKAD,fdrop05,0,4,0.5251,0.0467,0.0908,0.0302,0.0674,0.0000,0.4773,0.0439,0.2267,0.0605,0.0354,0.0265,0.1022,0.0910,0.1229,0.1012,0.0493,0.0008,11.0000,14.0949
COSKAD,fdrop05,8,4,0.6112,0.1463,0.1178,0.0661,0.0674,0.0000,0.4124,0.1227,0.2844,0.0605,0.0385,0.0288,0.1066,0.0904,0.1799,0.1310,0.0498,0.0002,15.3750,19.6103
COSKAD,fdrop10,0,4,0.5027,0.0090,0.0693,0.0023,0.0674,0.0000,0.4973,0.0090,0.2609,0.0553,0.0124,0.0140,0.0186,0.0228,0.0186,0.0228,0.0131,0.0062,nan,nan
COSKAD,fdrop10,8,4,0.5968,0.0366,0.1009,0.0236,0.0674,0.0000,0.4038,0.0347,0.3769,0.0784,0.0297,0.0188,0.1452,0.0593,0.2621,0.0649,0.0499,0.0001,4.0000,8.0000
COSKAD,gauss1,0,4,0.5990,0.0027,0.0969,0.0040,0.0674,0.0000,0.4359,0.0041,0.2792,0.0058,0.0253,0.0008,0.0712,0.0102,0.1626,0.0372,0.0496,0.0003,3.7500,3.0687
COSKAD,gauss1,8,4,0.6924,0.0025,0.1091,0.0039,0.0674,0.0000,0.3784,0.0049,0.3020,0.0054,0.0222,0.0015,0.0640,0.0171,0.1488,0.0312,0.0497,0.0002,4.8750,6.0605
COSKAD,gauss2,0,4,0.5988,0.0026,0.0968,0.0040,0.0674,0.0000,0.4355,0.0032,0.2779,0.0070,0.0253,0.0008,0.0714,0.0094,0.1607,0.0394,0.0496,0.0004,3.7500,2.8723
COSKAD,gauss2,8,4,0.6913,0.0026,0.1088,0.0039,0.0674,0.0000,0.3803,0.0052,0.3014,0.0063,0.0222,0.0015,0.0642,0.0176,0.1483,0.0313,0.0497,0.0002,6.7500,5.3774
