split,camera,videos,frames,anomaly_frames,tracks,base_rate
train,1,19,24829,0,121,0.0000
train,2,14,8425,0,48,0.0000
train,3,13,11086,0,86,0.0000
train,4,9,4280,0,19,0.0000
train,5,7,9015,0,43,0.0000
train,6,4,2338,0,14,0.0000
train,ALL,66,59973,0,331,0.0000
val,1,5,5109,0,35,0.0000
val,2,3,1163,0,8,0.0000
val,3,3,2319,0,10,0.0000
val,4,2,400,0,2,0.0000
val,5,2,2781,0,12,0.0000
val,6,1,1295,0,8,0.0000
val,ALL,16,13067,0,75,0.0000
test,1,18,5911,461,65,0.0780
test,2,16,6869,230,32,0.0335
test,3,16,5036,403,60,0.0800
test,4,10,2583,182,47,0.0705
test,5,6,1281,78,26,0.0609
test,6,3,1085,180,8,0.1659
test,ALL,69,22765,1534,238,0.0674
